vid_id,uploader_name,interval_fromytcreated_toupload,category,video_length,no_of_views,ratings,no_of_ratings,no_of_comments
wDnPU0Nrd5o,Bella103194,1135,Music,182,25,0,0,0
57u76CEUKkY,ILUVJOBROS,1135,Entertainment,115,926,4.92,92,46
kF_axDskD5Q,fendergirl4,1135,Entertainment,161,92,5,2,2
8tP9o37Fh6c,slowdownsugar92,1136,Entertainment,237,495,5,23,20
#NAME?,TooWongFubu,1136,Entertainment,320,525,5,8,8
qXqCJxGiyds,Dancer4eva1230,1135,Entertainment,373,79,0,0,0
q0bzPoAPIdE,VidoandSalsa,1134,Entertainment,240,126,5,5,1
FB68_wSNECA,JuLiElOvEsMaTt,1134,Music,118,21,0,0,0
cT09eRwnDF4,KEVjoeNICKj,1134,Entertainment,157,77,0,0,5
rz636-8BQ-I,dulceXyear3000,1121,People & Blogs,137,168,5,4,3
W2MzHmkr7Aw,clohyyy,1134,People & Blogs,146,479,1,2,0
bpIpVTJKmmA,PlzBMinexInseparable,1078,Entertainment,4,899,5,4,6
U2qDyOcdJf0,dramaqueenTay1,1134,Music,328,505,5,4,5
9N-RvB9rAGQ,,,,,,,,
F94eFmfW-7w,8dznyboy,1069,Music,377,2780,4.92,25,8
79lK4RATpE4,MissChristineDaae,1135,Music,241,323,5,2,1
jOVcXMg4s84,IxLOVExNICKxJONASSS,1136,Music,324,469,5,4,5
wrhmM5h8Dvw,somedia,1035,Music,231,24526,4.96,147,137
aoDBacpCX34,somedia,1127,Music,177,20902,4.99,188,222
KQweSiiviVQ,somedia,1127,Music,200,5422,5,65,47
jIuCA4RRtXE,somedia,1126,Music,202,3125,5,49,19
0oncHBjrmT0,somedia,1125,Music,342,10017,4.86,125,134
x03nM4h2JiM,somedia,1127,Music,298,24324,4.8,122,91
ytBX89Ibe8g,somedia,1124,Music,198,2687,4.81,69,61
jAQZMZm7eFk,somedia,1124,Music,189,2506,4.86,59,77
F8GJIqPtJ68,somedia,1127,Music,221,15148,4.95,168,159
xe-f-zg_KIU,somedia,1126,Music,247,3888,4.98,87,89
xoD4Rw7eCA8,somedia,1126,Music,179,6718,4.88,112,99
P0KKuLjs8I0,somedia,1124,Music,258,4142,4.91,76,51
gce0EWI0tEE,somedia,1124,Music,192,3863,4.97,70,56
DgEoY4X0m1Q,somedia,1125,Music,579,18348,4.91,272,276
j8u2Hx4dPWQ,melovesjack,1099,Comedy,170,1690,5,18,22
EHsfm7hqdIA,YouKnowItsWorthIt,1132,People & Blogs,513,64,5,3,1
